revenue,age,pages,first_item_prize,News_click,ReBuy,gender_Fem,gender_Masc,country_Afghanistan,country_Algeria,country_Argentina,country_Australia,country_Bangladesh,country_Brazil,country_Burma,country_Canada,country_China,country_Colombia,country_Egypt,country_Ethiopia,country_France,country_Germany,country_Ghana,country_India,country_Indonesia,country_Iran,country_Iraq,country_Italy,country_Japan,country_Kenya,country_Malaysia,country_Mexico,country_Morocco,country_Mozambique,country_Nepal,country_Nigeria,country_Pakistan,country_Peru,country_Philippines,country_Poland,country_Russia,country_Saudi Arabia,country_South Africa,country_South Korea,country_Spain,country_Sudan,country_Taiwan,country_Tanzania,country_Thailand,country_Turkey,country_Uganda,country_Ukraine,country_United Kingdom,country_United States,country_Uzbekistan,country_Venezuela,country_Vietnam,country_Yemen,population,GDP_inhab
1.0,0.4298883101341719,0.05342188919635311,-0.452236390570308,-0.1703809996307353,-0.6236095644623237,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360720000.0,9055.0
0.0,-0.36599060310021164,-0.8920982735709548,-1.0564214901584046,-0.9974732308478971,1.6035674514745466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360720000.0,9055.0
1.0,0.08879734731943609,-0.4193381921873009,0.14864886842185868,1.0702573471950074,-0.6236095644623237,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360720000.0,9055.0
0.0,-1.9577484295689787,-1.8376184363382628,0.3211205369024556,-0.9974732308478971,-0.6236095644623237,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360720000.0,9055.0
0.0,0.202494334924348,1.9444622147309691,-1.322262933977167,-0.1703809996307353,1.6035674514745466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360720000.0,9055.0
1.0,0.202494334924348,0.998942051963661,0.3211205369024556,0.2431651159778456,-0.6236095644623237,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360720000.0,9055.0
0.0,-0.1385966278903878,0.05342188919635311,0.3211205369024556,-0.9974732308478971,-0.6236095644623237,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360720000.0,9055.0
1.0,2.7038280622324105,-0.8920982735709548,0.949473040474076,1.0702573471950074,-0.6236095644623237,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360720000.0,9055.0
1.0,0.5435852977390838,0.526181970580007,0.22445092096836017,0.2431651159778456,1.6035674514745466,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360720000.0,9055.0
1.0,0.31619132252925997,1.9444622147309691,0.22445092096836017,0.2431651159778456,-0.6236095644623237,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360720000.0,9055.0
